direction, next, type, time, seconds spent
start, 1-1, b, 8/14/2016 6:00:43 PM, 28.48
up, 1-2, v, 8/14/2016 6:01:12 PM, 52.51
down, 2-4, v, 8/14/2016 6:02:04 PM, 47.84
up, 3-3, v, 8/14/2016 6:02:52 PM, 56.94
up, 4-1, v, 8/14/2016 6:03:49 PM, 65.88
left, 4-4, p, 8/14/2016 6:04:55 PM, 58.72
right, 5-1, p, 8/14/2016 6:05:54 PM, 25.01
left, 5-2, v, 8/14/2016 6:06:19 PM, 40.80
right, 6-3, p, 8/14/2016 6:06:59 PM, 14.69
left, 6-4, b, 8/14/2016 6:07:14 PM, 16.24
down, 7-2, p, 8/14/2016 6:07:30 PM, 24.73
right, 7-1, b, 8/14/2016 6:07:55 PM, 27.42
right, 7-3, v, 8/14/2016 6:08:23 PM, 90.91
down, 7-4, t, 8/14/2016 6:09:53 PM, 46.43
right, 8-4, v, 8/14/2016 6:10:40 PM, 23.21
right, 8-3, p, 8/14/2016 6:11:03 PM, 15.87
up, 8-2, b, 8/14/2016 6:11:19 PM, 35.58
down, 8-1, t, 8/14/2016 6:11:55 PM, 51.59
