participant,q1,q1b,q2,q2b,q3,q3b,q4,q4b,gender,age,occupation,country,9t,9b,9v,"9p (1 - not preferred, 2- neutral, 3 - preferred)",10,feedback
1,5,2,4,4,4,4,3,4,1,3,5,2,2,2,3,3,2,
2,1,3,3,3,5,1,3,4,1,2,2,2,2,3,3,1,3,
3,"1,4",3,3,3,3,4,3,4,2,4,1,1,1,2,3,3,2,
4,4,4,3,4,5,2,3,4,2,2,1,1,1,2,3,3,2,I didn't like pressing backwards and the colours didn't really affect my decision
5,1,"3,4",3,3,4,"3,4",3,4,1,3,1,3,2,3,2,3,3,
6,5,2,3,4,4,4,3,3,1,5,4,1,2,2,3,3,3,The placements of next slides was a little too random and made me feel I may miss some information. 
7,1,4,4,4,4,4,3,4,2,3,2,4,1,2,3,3,3,
8,1,4,3,4,4,3,3,3,2,5,4,1,3,3,3,3,3,
9,1,4,3,4,5,2,3,4,1,2,1,2,3,3,2,1,3,
10,1,4,3,4,4,4,3,4,1,3,1,2,1,3,2,2,4,
11,1,4,3,4,4,4,3,4,1,5,3,4,1,3,3,2,3,
12,5,1,3,3,3,4,1,4,1,3,2,3,2,3,3,3,1,
13,"1,4",4,3,3,4,4,5,1,2,3,2,2,1,3,3,2,3,
14,1,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,
