participant, right, up, left, down
1, 2, 3, 7, 5
2, 2, 4, 1, 3
3, 5, 5, 1, 4
4, 4, 4, 2, 3
5, 6, 5, 1, 4
6, 6, 2, 2, 6
7, 2, 5, 3, 1
8, 3, 2, 2, 1
9, 4, 3, 6, 3
10, 6, 8, 5, 12
11, 9, 9, 7, 5
12, 4, 3, 2, 2
13, 5, 4, 5, 8
14, 5, 5, 4, 4
15, 7, 7, 12, 5
16, 3, 3, 1, 6
17, 9, 6, 2, 5
18, 9, 5, 0, 1
19, 3, 2, 4, 5
20, 4, 3, 3, 3
21, 4, 10, 3, 4
22, 5, 2, 1, 3
23, 3, 5, 6, 3
24, 4, 5, 1, 0
25, 7, 1, 3, 3
26, 4, 2, 3, 3
27, 0, 4, 1, 3
28, 4, 3, 1, 4
29, 8, 7, 4, 9
30, 9, 1, 3, 2
31, 3, 4, 4, 1
32, 5, 4, 2, 5
33, 10, 3, 4, 4
34, 4, 2, 13, 8
35, 6, 4, 3, 4
36, 16, 4, 3, 6
37, 3, 5, 5, 5
38, 3, 7, 2, 1
39, 4, 3, 3, 4
40, 12, 5, 6, 8
41, 2, 2, 6, 5
42, 4, 5, 2, 1
43, 5, 3, 14, 8
