participant, vtime, ttime, btime, ptime
1, 10.2316666667, 0, 13.6225, 16.185
2, 24.825, 0, 14.71, 21.4375
3, 22.9825, 10.9466666667, 11.47, 10.2825
4, 5.644, 5.77, 13.98, 9.06666666667
5, 13.08, 12.765, 10.6966666667, 7.976
6, 17.7025, 4.88, 20.2875, 18.1542857143
7, 20.455, 0, 37.77, 23.696
8, 0, 0, 27.195, 12.0128571429
9, 25.008, 42.79, 20.1, 22.92125
10, 14.75875, 27.12625, 18.11375, 12.35625
11, 17.0325, 19.2071428571, 24.16625, 11.85375
12, 25.08, 0, 14.47, 6.08125
13, 20.9014285714, 29.03, 19.4533333333, 13.59375
14, 10.63, 19.5133333333, 10.938, 12.41
15, 23.76375, 38.41875, 21.89375, 18.365
16, 29.2725, 59.35, 26.97, 0
17, 12.1928571429, 17.1583333333, 11.88, 10.734
18, 17.77, 29.645, 18.415, 14.595
19, 11.52375, 0, 12.135, 11.438
20, 62.575, 43.5, 34.284, 16.6233333333
21, 5.15857142857, 10.54, 7.546, 5.755
22, 15.21, 35.385, 26.17, 14.4716666667
23, 10.422, 31.2575, 20.392, 10.105
24, 18.94, 0, 28.605, 17.67625
25, 22.1, 21.18, 17.4, 16.5185714286
26, 12.164, 24.66, 7.39666666667, 21.515
27, 15.08625, 0, 0, 0
28, 7.66333333333, 34.84, 12.856, 13.25
29, 22.6728571429, 40.4257142857, 15.2485714286, 12.04875
30, 35.3733333333, 79.14, 19.6425, 21.18
31, 10.31, 7.14, 16.665, 9.85125
32, 11.92125, 4.19, 10.155, 7.12
33, 6.51, 18.1175, 14.49, 7.98333333333
34, 30.00875, 44.6575, 26.8725, 19.59375
35, 54.0128571429, 49.01, 26.93, 27.804
36, 14.3725, 11.12, 9.01857142857, 13.5975
37, 26.575, 20.6566666667, 18.8375, 12.5925
38, 11.0375, 14.51, 9.685, 10.4157142857
39, 11.845, 16.38, 15.4825, 8.6025
40, 14.0075, 25.30375, 22.81625, 9.7
41, 7.75, 20.47, 17.3666666667, 8.43714285714
42, 12.386, 18.24, 19.7, 9.13833333333
43, 6.6225, 4.34625, 6.31857142857, 3.7125
