participant, v, t, b, p
1, 6, 0, 4, 8
2, 6, 0, 1, 4
3, 4, 3, 1, 8
4, 5, 1, 2, 6
5, 4, 2, 6, 5
6, 4, 2, 4, 7
7, 4, 0, 3, 5
8, 0, 0, 2, 7
9, 5, 1, 3, 8
10, 8, 8, 8, 8
11, 8, 7, 8, 8
12, 2, 0, 2, 8
13, 7, 2, 6, 8
14, 4, 6, 5, 4
15, 8, 8, 8, 8
16, 8, 2, 4, 0
17, 7, 6, 5, 5
18, 2, 4, 2, 8
19, 8, 0, 2, 5
20, 2, 1, 5, 6
21, 7, 2, 5, 8
22, 1, 2, 3, 6
23, 5, 4, 5, 4
24, 1, 0, 2, 8
25, 3, 1, 4, 7
26, 5, 1, 3, 4
27, 8, 0, 0, 0
28, 3, 1, 5, 4
29, 7, 7, 7, 8
30, 3, 1, 4, 8
31, 1, 2, 2, 8
32, 8, 3, 4, 2
33, 4, 8, 7, 3
34, 8, 4, 8, 8
35, 7, 2, 4, 5
36, 8, 7, 7, 8
37, 4, 3, 4, 8
38, 4, 1, 2, 7
39, 2, 1, 8, 4
40, 8, 8, 8, 8
41, 5, 1, 3, 7
42, 5, 1, 1, 6
43, 8, 8, 7, 8
