participant, right, up, left, down,,right %,up %,left %,p %
1,2,3,7,5,,0.117647059,0.176470588,0.411764706,0.294117647
2,2,4,1,3,,0.2,0.4,0.1,0.3
3,5,5,1,4,,0.333333333,0.333333333,0.066666667,0.266666667
4,4,4,2,3,,0.307692308,0.307692308,0.153846154,0.230769231
5,6,5,1,4,,0.375,0.3125,0.0625,0.25
6,6,2,2,6,,0.375,0.125,0.125,0.375
7,2,5,3,1,,0.181818182,0.454545455,0.272727273,0.090909091
8,3,2,2,1,,0.375,0.25,0.25,0.125
9,4,3,6,3,,0.25,0.1875,0.375,0.1875
10,6,8,5,12,,0.193548387,0.258064516,0.161290323,0.387096774
11,9,9,7,5,,0.3,0.3,0.233333333,0.166666667
12,4,3,2,2,,0.363636364,0.272727273,0.181818182,0.181818182
13,5,4,5,8,,0.227272727,0.181818182,0.227272727,0.363636364
14,5,5,4,4,,0.277777778,0.277777778,0.222222222,0.222222222
15,7,7,12,5,,0.225806452,0.225806452,0.387096774,0.161290323
16,3,3,1,6,,0.230769231,0.230769231,0.076923077,0.461538462
17,9,6,2,5,,0.409090909,0.272727273,0.090909091,0.227272727
18,9,5,0,1,,0.6,0.333333333,0,0.066666667
19,3,2,4,5,,0.214285714,0.142857143,0.285714286,0.357142857
20,4,3,3,3,,0.307692308,0.230769231,0.230769231,0.230769231
21,4,10,3,4,,0.19047619,0.476190476,0.142857143,0.19047619
22,5,2,1,3,,0.454545455,0.181818182,0.090909091,0.272727273
23,3,5,6,3,,0.176470588,0.294117647,0.352941176,0.176470588
24,4,5,1,0,,0.4,0.5,0.1,0
25,7,1,3,3,,0.5,0.071428571,0.214285714,0.214285714
26,4,2,3,3,,0.333333333,0.166666667,0.25,0.25
28,4,3,1,4,,0.333333333,0.25,0.083333333,0.333333333
29,8,7,4,9,,0.285714286,0.25,0.142857143,0.321428571
30,9,1,3,2,,0.6,0.066666667,0.2,0.133333333
31,3,4,4,1,,0.25,0.333333333,0.333333333,0.083333333
32,5,4,2,5,,0.3125,0.25,0.125,0.3125
33,10,3,4,4,,0.476190476,0.142857143,0.19047619,0.19047619
34,4,2,13,8,,0.148148148,0.074074074,0.481481481,0.296296296
35,6,4,3,4,,0.352941176,0.235294118,0.176470588,0.235294118
36,16,4,3,6,,0.551724138,0.137931034,0.103448276,0.206896552
37,3,5,5,5,,0.166666667,0.277777778,0.277777778,0.277777778
38,3,7,2,1,,0.230769231,0.538461538,0.153846154,0.076923077
39,4,3,3,4,,0.285714286,0.214285714,0.214285714,0.285714286
40,12,5,6,8,,0.387096774,0.161290323,0.193548387,0.258064516
41,2,2,6,5,,0.133333333,0.133333333,0.4,0.333333333
42,4,5,2,1,,0.333333333,0.416666667,0.166666667,0.083333333
43,5,3,14,8,,0.166666667,0.1,0.466666667,0.266666667
,,,,,,,,,
,,,,,,,,,
,,,,,Median,0.303846154,0.25,0.192012289,0.233031674
,,,,,Mean,0.307960194,0.251092509,0.208929497,0.2320178
,,,,,Variance,0.01486321,0.01326924,0.013420989,0.009757543
,,,,,Standard dev,0.121914766,0.115192186,0.115848991,0.098780277
